independent continuant;drents heideschaap, netherlands (sheep);omia:372
independent continuant;romosinuano, venezuela (bolivarian republic of) (cattle);omia:920
independent continuant;magyartarka, hungary (cattle);omia:525
independent continuant;dubska, bosnia and herzegovina (sheep);omia:719
independent continuant;tux-zillertaler, austria (cattle);omia:1111
independent continuant;guishan, china (goat);omia:1215
independent continuant;huazhong two-end black - shaziling, china (pig);omia:928
independent continuant;wisconsin hypoalpha mutant (wham), united states of america (chicken);omia:1050
independent continuant;miniature highland, united kingdom of great britain and northern ireland (cattle);omia:941
independent continuant;gang, china (goose (domestic));omia:1140
independent continuant;wadi, china (sheep);omia:1228
independent continuant;balgarsko cherveno govedo, bulgaria (cattle);omia:333
independent continuant;rahmani, egypt (sheep);omia:665
independent continuant;polska holszty sko-fryzyjska czerwono-bia a, poland (cattle);omia:682
independent continuant;fribourgeois, switzerland (cattle);omia:601
independent continuant;rasa aragonesa, spain (sheep);omia:883
independent continuant;dangi, india (cattle);omia:365
independent continuant;sichuan white, china (goose (domestic));omia:1196
independent continuant;pony of the americas, germany (horse);omia:1046
independent continuant;ayrshire, finland (cattle);omia:923
independent continuant;m rinos d'arles, france (sheep);omia:67
independent continuant;yimeng blue, china (chicken);omia:1167
independent continuant;nali, india (sheep);omia:624
independent continuant;gammelnorsk spaelsau, norway (sheep);omia:616
independent continuant;gromark, australia (sheep);omia:566
independent continuant;bororo, chad (sheep);omia:225
independent continuant;polska owca g rska, poland (sheep);omia:411
independent continuant;ghumusari, india (cattle);omia:524
independent continuant;yakutskii skot, russian federation (cattle);omia:1137
independent continuant;sarda, italy (goat);omia:114
independent continuant;rouge des pr s, france (cattle);omia:1073
independent continuant;hejazi, saudi arabia (sheep);omia:352
independent continuant;sortbroget jydsk malkekvaeg, denmark (cattle);omia:129
independent continuant;holstein-friz, hungary (cattle);omia:203
independent continuant;nubian, united states of america (goat);omia:1
independent continuant;italiana neagra, romania (chicken);omia:548
independent continuant;original schweizer braunvieh, switzerland (cattle);omia:1252
independent continuant;evol ner, switzerland (cattle);omia:1116
independent continuant;limonero, venezuela (bolivarian republic of) (cattle);omia:1065
independent continuant;kedah-kelantan, malaysia (cattle);omia:715
independent continuant;english spotted pony, australia (horse);omia:1048
independent continuant;rotes h henvieh, germany (cattle);omia:857
independent continuant;sidet troenderfe og nordlandsfe, norway (cattle);omia:571
independent continuant;canchim, brazil (cattle);omia:508
independent continuant;ennstaler bergscheck, austria (cattle);omia:142
independent continuant;taihu - erhualian, china (pig);omia:984
independent continuant;ekor tipis, indonesia (sheep);omia:1259
independent continuant;kedu, indonesia (chicken);omia:862
independent continuant;fries roodbont, netherlands (cattle);omia:597
independent continuant;chinese xingyi bantam, china (chicken);omia:1002
independent continuant;magyartarka, hungary (cattle);omia:403
independent continuant;zwartbont ras van de polders, belgium (cattle);omia:231
independent continuant;cesky strakaty skot, czechia (cattle);omia:556
independent continuant;deutsche holstein schwarzbunt, germany (cattle);omia:1033
independent continuant;cavallo agricolo italiano da tiro pesante rapido, italy (horse);omia:942
independent continuant;polska czerwono-biala (zr), poland (cattle);omia:526
independent continuant;chokla, india (sheep);omia:623
independent continuant;rathi, india (cattle);omia:551
independent continuant;american brown swiss, united kingdom of great britain and northern ireland (cattle);omia:1036
independent continuant;pak angora, pakistan (goat);omia:1141
independent continuant;schw bisch h llisches schwein, germany (pig);omia:875
independent continuant;valle del belice, italy (sheep);omia:990
independent continuant;sunite, china (sheep);omia:1188
independent continuant;duolang, china (sheep);omia:1213
independent continuant;criolla colombiana, colombia (goat);omia:532
independent continuant;gammelnorsk spaelsau, norway (sheep);omia:991
independent continuant;patanwadi, india (sheep);omia:530
independent continuant;sura de stepa, romania (cattle);omia:746
independent continuant;pr alpes du sud, france (sheep);omia:661
